"EntityId","EntityName","EntityType","Description","Active"
6735,"BAKEWISE BRND NL",6,"Vendor","Y"
6736,"HORIZON TX",6,"Vendor","Y"
6747,"CAROLINA FDS SE",6,"Vendor","N"
6751,"BIMBO NR TJ BS",6,"Vendor","Y"
6759,"WHB RICHMOND DE",6,"Vendor","Y"
6551,"**NA SOUTHERN NP",6,"Vendor","N"
6789,"CAROLINA PPS MI",6,"Vendor","Y"
5162,"**NA INTR AMR LHBR SP1",6,"Vendor","N"
5199,"**NA INTR AMR LHBR SP2",6,"Vendor","N"
6514,"WHB RICHMOND NP",6,"Vendor","Y"
6495,"BIMBO COLOMBI NP",6,"Vendor","Y"
4610,"**NA ARYZTA  DA",6,"Vendor","N"
3068,"**NA ARYZ ADV BS",6,"Vendor","N"
3282,"**NA ARYZTA VA",6,"Vendor","N"
6579,"BIMBO SA MTLT TX",6,"Vendor","Y"
6589,"TOSTADA AMIGO SE",6,"Vendor","Y"
3127,"ATIES BKY GR",6,"Vendor","Y"
2886,"MULLINS MI",6,"Vendor","Y"
2946,"HAZPAN   NP",6,"Vendor","Y"
2949,"STERLING AZU  SP",6,"Vendor","Y"
3001,"WHB OXNARD DE",6,"Vendor","Y"
3033,"TROPICAL MAD BS",6,"Vendor","Y"
3034,"HAZPAN  BS",6,"Vendor","Y"
3036,"PANIF PERU GR",6,"Vendor","Y"
3037,"HARLAN DE SFY DE",6,"Vendor","Y"
3262,"TROPCAL MDNES SP",6,"Vendor","Y"
3314,"INTR AMR QFC DE",6,"Vendor","Y"
3325,"CAROLINA FDS SP",6,"Vendor","Y"
3340,"MICHELS CARLISLE",6,"Vendor","Y"
3441,"STERLING PEAK DE",6,"Vendor","Y"
3442,"BIMBO SA MTRY SP",6,"Vendor","Y"
3443,"OXNARD       SP",6,"Vendor","Y"
3741,"HAZPAN DE",6,"Vendor","Y"
3742,"BIMBO NR TJ   TX",6,"Vendor","Y"
3831,"HAZPAN SE",6,"Vendor","Y"
4179,"NERI BKY EXPT MI",6,"Vendor","Y"
4180,"SOUTHERN MI",6,"Vendor","Y"
4181,"BOB SAUCE/CASE S",6,"Vendor","Y"
4182,"PANIF PERU    TX",6,"Vendor","Y"
4183,"GOLD CST COI  SP",6,"Vendor","Y"
4184,"STERLING AZU  NP",6,"Vendor","Y"
4189,"SOUTHERN      NP",6,"Vendor","Y"
4190,"SOUTHERN     SP",6,"Vendor","Y"
4263,"HAZPAN GR",6,"Vendor","Y"
4315,"PANIF PERU MI",6,"Vendor","Y"
4394,"MAPLEHURST BS",6,"Vendor","Y"
4448,"TOUFYN PC ATL MI",6,"Vendor","Y"
4555,"H&S BKY ALDI AL",6,"Vendor","Y"
4556,"TOUFYN EXP MI",6,"Vendor","Y"
4557,"BIMBO NR LBMEXNL",6,"Vendor","Y"
4558,"MAPLEHURST DE",6,"Vendor","Y"
4786,"STERLING MAN  SP",6,"Vendor","Y"
4819,"MAPLEHURST NP",6,"Vendor","Y"
4823,"PANIF PERU BS",6,"Vendor","Y"
4870,"OMNI BK GR",6,"Vendor","Y"
4888,"HAZPAN        SP",6,"Vendor","Y"
4967,"PANIF PERU DE",6,"Vendor","Y"
4968,"ST ARMANDS    TX",6,"Vendor","Y"
4972,"BIMBO NR MX DA",6,"Vendor","Y"
4973,"BARCEL        DA",6,"Vendor","Y"
5225,"PANIF PERU NL",6,"Vendor","Y"
5379,"A&K BS",6,"Vendor","Y"
3474,"PASTRY HOUSE BS",6,"Vendor","Y"
3477,"SO SX CITY NE BK",5,"Bakery","Y"
4609,"INTR AMR LHBR DE",6,"Vendor","Y"
3492,"CAROLINA FDS  DA",6,"Vendor","Y"
3495,"COMERECITY CO BK",5,"Bakery","Y"
3902,"JTM FOODS DE",6,"Vendor","Y"
3537,"CRISPY LIBRTY GR",6,"Vendor","Y"
3538,"TUZZI BK GR",6,"Vendor","Y"
5050,"TOUFYN AR&TH  GR",6,"Vendor","Y"
2750,"RIV BEACH FL BK",5,"Bakery","Y"
4668,"HUNTINGTON WV BK",5,"Bakery","Y"
3927,"OCONOMOWOC WI BK",5,"Bakery","Y"
5071,"DUBUQUE IA BK",5,"Bakery","Y"
4716,"CAROLINA FDS MI",6,"Vendor","Y"
5097,"INTR AMR AND MI",6,"Vendor","Y"
4323,"A&K NP",6,"Vendor","Y"
