"FROM_LINK","TO_LINK","START_DATE","END_DATE","STATUS"
3458,5843,"01/01/2020","12/31/9999","A"
5843,5209,"01/01/2020","12/31/9999","A"
5209,5800,"01/01/2020","12/31/9999","A"
5800,4578,"01/01/2020","12/31/9999","A"
4578,3847,"01/01/2020","12/31/9999","A"
4591,4213,"01/01/2020","12/31/9999","A"
4213,5688,"01/01/2020","12/31/9999","A"
5688,2932,"01/01/2020","12/31/9999","A"
2932,5800,"01/01/2020","12/31/9999","A"
5800,3466,"01/01/2020","12/31/9999","A"
3466,4981,"01/01/2020","12/31/9999","A"
5588,5790,"01/01/2020","12/31/9999","A"
5790,5719,"01/01/2020","12/31/9999","A"
5719,6683,"01/01/2020","12/31/9999","A"
6683,4208,"01/01/2020","12/31/9999","A"
4208,5363,"01/01/2020","12/31/9999","A"
3126,5857,"01/01/2020","12/31/9999","A"
5857,5843,"01/01/2020","12/31/9999","A"
3322,5741,"01/01/2020","12/31/9999","A"
5741,5720,"01/01/2020","12/31/9999","A"
5720,5848,"01/01/2020","12/31/9999","A"
5848,5844,"01/01/2020","12/31/9999","A"
5844,4990,"01/01/2020","12/31/9999","A"
4990,3050,"01/01/2020","12/31/9999","A"
2675,5689,"01/01/2020","12/31/9999","A"
5689,5688,"01/01/2020","12/31/9999","A"
4989,4983,"01/01/2020","12/31/9999","A"
5804,5739,"01/01/2020","12/31/9999","A"
2674,5688,"01/01/2020","12/31/9999","A"
5590,5836,"01/01/2020","12/31/9999","A"
5708,5593,"01/01/2020","12/31/9999","A"
5844,4206,"01/01/2020","12/31/9999","A"
5848,5800,"01/01/2020","12/31/9999","A"
5838,5791,"01/01/2020","12/31/9999","A"
5843,5707,"01/01/2020","12/31/9999","A"
6703,3464,"01/01/2020","12/31/9999","A"
3117,5753,"01/01/2020","12/31/9999","A"
3057,2659,"01/01/2020","12/31/9999","A"
5844,4107,"01/01/2020","12/31/9999","A"
5848,4576,"01/01/2020","12/31/9999","A"
5743,5844,"01/01/2020","12/31/9999","A"
5209,2664,"01/01/2020","12/31/9999","A"
5379,5688,"01/01/2020","12/31/9999","A"
5857,6700,"01/01/2020","12/31/9999","A"
4988,3048,"01/01/2020","12/31/9999","A"
5704,5843,"01/01/2020","12/31/9999","A"
5791,6701,"01/01/2020","12/31/9999","A"
6678,3058,"01/01/2020","12/31/9999","A"
6674,4213,"01/01/2020","12/31/9999","A"
5791,3058,"01/01/2020","12/31/9999","A"
5848,3462,"01/01/2020","12/31/9999","A"
5837,5844,"01/01/2020","12/31/9999","A"
5753,5848,"01/01/2020","12/31/9999","A"
5742,6678,"01/01/2020","12/31/9999","A"
4841,5848,"01/01/2020","12/31/9999","A"
5743,6678,"01/01/2020","12/31/9999","A"
6678,3463,"01/01/2020","12/31/9999","A"
5688,3058,"01/01/2020","12/31/9999","A"
5791,5848,"01/01/2020","12/31/9999","A"
3459,5364,"01/01/2020","12/31/9999","A"
6677,3465,"01/01/2020","12/31/9999","A"
5742,6703,"01/01/2020","12/31/9999","A"
5708,2664,"01/01/2020","12/31/9999","A"
6676,3463,"01/01/2020","12/31/9999","A"
5209,6682,"01/01/2020","12/31/9999","A"
5843,3848,"01/01/2020","12/31/9999","A"
5848,6678,"01/01/2020","12/31/9999","A"
6687,3456,"01/01/2020","12/31/9999","A"
5688,4199,"01/01/2020","12/31/9999","A"
5688,6631,"01/01/2020","12/31/9999","A"
5688,3056,"01/01/2020","12/31/9999","A"
3850,5377,"01/01/2020","12/31/9999","A"
5740,5688,"01/01/2020","12/31/9999","A"
5794,4574,"01/01/2020","12/31/9999","A"
5794,3851,"01/01/2020","12/31/9999","A"
5689,6688,"01/01/2020","12/31/9999","A"
5689,6689,"01/01/2020","12/31/9999","A"
5743,5781,"01/01/2020","12/31/9999","A"
5781,6689,"01/01/2020","12/31/9999","A"
5708,5687,"01/01/2020","12/31/9999","A"
5739,5781,"01/01/2020","12/31/9999","A"
5765,5776,"01/01/2020","12/31/9999","A"
5802,5846,"01/01/2020","12/31/9999","A"
5855,3856,"01/01/2020","12/31/9999","A"
5749,3077,"01/01/2020","12/31/9999","A"
6579,5855,"01/01/2020","12/31/9999","A"
5749,3078,"01/01/2020","12/31/9999","A"
5802,5772,"01/01/2020","12/31/9999","A"
5772,5749,"01/01/2020","12/31/9999","A"
5776,4601,"01/01/2020","12/31/9999","A"
5737,5855,"01/01/2020","12/31/9999","A"
4810,5765,"01/01/2020","12/31/9999","A"
5776,3482,"01/01/2020","12/31/9999","A"
4612,5846,"01/01/2020","12/31/9999","A"
5749,5846,"01/01/2020","12/31/9999","A"
6451,5846,"01/01/2020","12/31/9999","A"
5846,2683,"01/01/2020","12/31/9999","A"
5846,2689,"01/01/2020","12/31/9999","A"
3927,5782,"01/01/2020","12/31/9999","A"
5782,5786,"01/01/2020","12/31/9999","A"
5786,5846,"01/01/2020","12/31/9999","A"
5846,4450,"01/01/2020","12/31/9999","A"
5846,4188,"01/01/2020","12/31/9999","A"
5776,2686,"01/01/2020","12/31/9999","A"
5846,3447,"01/01/2020","12/31/9999","A"
5688,5765,"01/01/2020","12/31/9999","A"
5846,4219,"01/01/2020","12/31/9999","A"
5846,3072,"01/01/2020","12/31/9999","A"
