,DEVICE_ID,OS,DEVICE,DEVICE_SCORE
1999999,3072B313-0D56-4323-B6E2-D82FF5EAFE83,iOS,iPhone 8 Plus,5
2000000,25e1e542da918fd1,Android,Moto E (4),1
2000001,3081A2D5-C367-48FB-9B4C-B9DEDF0ED82F,iOS,iPhone SE,4
2000002,1c20d543b058b8aa,Android,moto g(7) plus,1
2000003,B5053DE2-247F-4BAA-A848-44B4CC0A1B8A,iOS,"iPhone11,6",5
2000004,79596F2B-4200-4DFA-9751-071A121D6618,iOS,iPhone 8,5
2000005,57bf10084fe26a06,Android,SM-G955F,3
2000006,d3d0b06a5542169,Android,ASUS_Z012DC,3
2000007,2a5fb7d5088b634a,Android,FIG-LX3,2
2000008,7df9816600b681c6,Android,SM-A305G,1
2000009,becb5ad67d4402a,Android,Moto G (4),2
2000010,bd083623048c66b3,Android,Click,1
2000011,6b6844a77b1dd0ef,Android,SM-G9600,3
2000012,34A67310-4002-4E24-BAF5-B2DBCA2D963A,iOS,"iPhone11,8",5
2000013,EAF361FC-640D-44CB-A8C7-CCDD8A2FDCAD,iOS,iPhone 8,5
2000014,DDB62BB9-A276-4418-AC97-149DE0303611,iOS,iPhone 6,3
2000015,EF50FD9A-254A-4FB1-B2FB-0C7EE78891D2,iOS,iPhone X,5
2000016,08555405e748c143,Android,SM-G610M,1
2000017,B4738D3A-CB99-41EC-A50B-81C6CA997CE8,iOS,iPhone 8 Plus,5
2000018,0f2f24a942cef7c8,Android,RNE-L03,2
2000019,85ab396c5080260a,Android,MRD-LX3,1
2000020,E81C24BE-18AC-4510-A994-160A95494F8E,iOS,iPhone X,5
2000021,82C19F5D-4A81-4F12-B8A2-970EBA29C36A,iOS,iPhone 8,5
2000022,0BF53C90-FF19-4839-9D82-BCE4CBE2E66A,iOS,iPhone 6s,4
2000023,37c148c9be4e9942,Android,Moto Z2 Play,3
2000024,6885602187df8640,Android,DUB-LX3,2
2000025,2373c7b49311d4c3,Android,JKM-LX3,2
2000026,ccb65e07235d38df,Android,LG-M700,1
