"PROD_DTL_ID","COMMON_PRODUCT_NUM","PROD_DTL_NAME"
223,"900220","BREAD UNKNOWN"
224,"900221","BREAD UNKNOWN"
227,"900224","BAKSQ WTBRN 24"
229,"900226","AA 12 GR RL 18CT"
230,"900227","AAHLTH NUT RL"
233,"900230","FL BEAN DIPS"
234,"900231","BADERS COOKIES"
235,"900232","FIG BARS"
236,"900233","SO STUBBY 1#"
238,"900235","DBL CNTRY WHITE"
239,"900236","BREAD UNKNOWN"
243,"900240","NS CLUSTER RL"
244,"900241","FRAN CROUTON"
245,"900242","LS WHITE PROD"
246,"900243","POPPY BAGEL BULK"
249,"900246","LG PITA WHT SIX P"
250,"900247","MINI SODO"
251,"900248","MINI HOTDOG SL"
252,"900249","PP LS WHEAT"
255,"900252","PP SAN WHEAT PRD"
256,"900253","HONEY BEARS"
259,"900255","ORO PROD DEVELOP"
260,"900256","OC MISC 1LB BRD"
261,"900257","OC MISC BD"
262,"900258","OC MISC ROLLS"
265,"900261","SHELLS 2PK"
266,"900262","TWLV IN SHELL"
268,"900264","PL OD BUN FOUR PK"
270,"900266","POP KAISER"
272,"900268","CLSTR POT RLS"
275,"900271","THREE SL COCO BUNDZ"
276,"900272","SIX IN BOBLI TRITWPK"
278,"900274","BOBOLI TWPKCO SIX IN"
282,"900278","SL MEDTWST DZ"
284,"900280","FR BAGUETTE2P"
285,"900281","CROISSANT"
288,"900284","BREAD UNKNOWN"
290,"900286","MINI WHE LOAF SIX IN"
291,"900287","ASST SM DONUTS"
295,"900291","INAC DBLE CT"
297,"900293","PF FR/IT TRAY RL"
299,"900295","PF BAG BS"
301,"900297","PF THREE PK BAGETTE"
304,"900300","FF CINN ROLL 6 PK"
305,"900301","TOASTETTES"
310,"900306","WW SIX IN CONEY"
311,"900307","RI SWIRL RYE"
312,"900308","CRACKER CADD 8 PK"
315,"900311","FRITO DIPS"
316,"900312","N CHEESE DIPS"
321,"900317","LIT RYE PULL"
322,"900318","HUSKY WHEAT"
323,"900319","FFV CRISP LITE C"
327,"900323","HB FR CBALL"
328,"900324","O C BAGEL CHIPS"
331,"900327","SLEG PULL  24"
333,"900329","UNSL D ROLL"
334,"900330","PF BS SODO CL RL"
336,"900332","HOT DOG DZ SES"
337,"900333","PF BS SODO CBAL"
338,"900334","LAYS CHIPS"
341,"900337","WH HI RISE"
342,"900338","GRANOLA MUF MIX"
343,"900339","PF 3P CBALL"
345,"900341","PF FOCACCIA"
346,"900342","PFCS VIENNA"
348,"900344","PF SD BS BAGET 4PK"
350,"900346","PF EPI TWO PK"
351,"900347","BREAD UNKNOWN"
353,"900349","WH OAT"
354,"900350","YEL SES"
355,"900351","YEL SES"
357,"900353","YELBUN 4.5IN 6PK"
359,"900355","BAGEL DELI EVR"
361,"900357","DENNYS TX TST"
362,"900358","HSTONE WHE"
363,"900359","H STONE WHI"
364,"900360","LYONS UNSLPLNBGL"
365,"900361","ST & SH MARB RYE"
366,"900362","LYONS WHE CLSTR RL"
368,"900364","DB TWELVE GR"
369,"900365","THIN RAISIN"
370,"900366","TK ONE INSLRAIS24"
371,"900367","ENT THRIFT"
372,"900368","ENT THRIFT"
373,"900369","ENT THRIFT"
375,"009608","ENT THRIFT"
376,"900371","ENT THRIFT"
378,"009611","ENT THRIFT"
379,"900373","ENT THRIFT"
380,"900374","ENT THRIFT"
381,"900375","ENT THRIFT"
382,"900376","ENT THRIFT"
383,"900377","ENT THRIFT"
384,"900378","ENT THRIFT"
385,"900379","ENT THRIFT"
386,"900380","ENT THRIFT"
390,"900384","ENT THRIFT"
391,"900385","ENT THRIFT"
392,"900386","ENT THRIFT"
393,"900387","ENT THRIFT"
396,"900390","ENT THRIFT"
397,"900391","ENT THRIFT"
398,"900392","ENT THRIFT"
399,"900393","ENT THRIFT"
403,"900397","ENT THRIFT"
404,"900398","ENT THRIFT"
405,"900399","ENT THRIFT"
406,"900400","ENT THRIFT"
409,"900403","ENT THRIFT"
410,"900404","ENT THRIFT"
412,"900406","ENT/BOBOLI THRIFT"
416,"900410","BOBOLI THRIFT"
417,"900411","ALL BB PROD THRIFT"
419,"900413","ALL ENT THRIFT"
422,"009646","FRI CAKE THRIFT"
423,"900415","FRI BAGELS THRIFT"
425,"900417","BOBOLI THRIFT"
426,"900418","MINI PIES -THRIFT"
431,"900423","EM 12 REG  THRIFT"
432,"900424","ENT CAKE THRIFT"
435,"900427","ALL BB PROD THRIFT"
437,"900429","ALL ENT CAKE THRIFT"
438,"900430","BOBOLI THRIFT"
439,"900431","MINI PIES -THRIFT"
444,"900436","BOBOLI 6 THRIFT"
445,"900437","CEREAL BARS THRIFT"
447,"900439","ALL ARNOLD THRIFT"
451,"000119","ALL VARITIES THRIFT"
452,"000120","CAKE THRIFT"
457,"000129","IWP   THRIFT"
458,"000130","ARNOLD THRIFT"
459,"900440","THOMAS THRIFT"
463,"900443","CAKE/BOB/IWP THRIFT"
464,"009716","THRIFT OUTLET LENDER"
469,"900448","BREAD      THRIFT"
470,"900449","CAKE THRIFT"
471,"900450","ALL PRODUCTS THRIFT"
474,"009659","ALL ARNOLD THRIFT"
475,"900452","AR FRESH OVRBKTHRIFT"
478,"000146","ALL THOMAS THRIFT"
480,"900454","ALL BBO PROD THRIFT"
483,"900456","ALL THOMAS THRIFT"
487,"009602","ALL ARNOLD THRIFT"
488,"900458","ARNLD PRO AMAZ THRIF"
489,"900459","WHEAT HAMB 20 P"
493,"900463","INEXPEN JEWELRY"
494,"900464","CORNNUTS"
495,"900465","SPIN POPS LASER"
500,"900470","FRITO LAY 69CENT"
501,"900471","FRITO LAY 75CENT"
663,"900630","JUST BORN CAN LG"
664,"900631","JUST BORN CAN LG"
665,"900632","JUST BORN CAN LG"
666,"900633","JUST BORN CAN LG"
667,"900634","JUST BORN CAN LG"
668,"900635","JUST BORN CAN LG"
669,"900636","JUST BORN CAN LG"
670,"900637","JUST BORN CAN LG"
672,"900639","JUST BORN CAN LG"
673,"900640","JUST BORN CAN LG"
674,"900641","JUST BORN CAN LG"
675,"900642","JUST BORN CAN LG"
676,"900643","JUST BORN CAN LG"
677,"900644","JUST BORN CAN LG"
678,"900645","JUST BORN CAN LG"
679,"900646","JUST BORN CAN LG"
681,"900648","JUST BORN CAN LG"
682,"900649","JUST BORN CAN LG"
683,"900650","JUST BORN CAN LG"
684,"900651","JUST BORN CAN LG"
685,"900652","JUST BORN CAN LG"
686,"900653","JUST BORN CAN LG"
687,"900654","JUST BORN CAN LG"
688,"900655","JUST BORN CAN LG"
690,"900657","JUST BORN CAN LG"
691,"900658","JUST BORN CAN LG"
692,"900659","JUST BORN CAN LG"
693,"900660","JUST BORN CAN LG"
694,"900661","JUST BORN CAN LG"
695,"900662","JUST BORN CAN LG"
696,"900663","JUST BORN CAN LG"
697,"900664","JUST BORN CAN LG"
700,"900667","PEPSI"
701,"900668","20 OUNCE SODA"
702,"900669","AQUAFINA WATER 1LTR"
704,"900671","FRAPPUCCINO COOLERS"
705,"900672","JALAPENO CHEDDAR DIP"
709,"900676","ANIMAL CRACKERS"
710,"900677","FARLEY CANDY"
712,"900679","BACCI PLAIN"
713,"900680","BACCI ONPOPPYSD"
714,"900681","BACCI RAISIN CINN"
719,"900686","BACCI TRL PK ON/POPP"
720,"900687","BACCI TRL PK CRANORN"
721,"900688","CAJETA VANILLA"
725,"004225","KUHNS SAND 8"
726,"004226","KUHNS HOT DOG 8P"
730,"007383","TR FLR TACO TORT 10P"
731,"900691","TR TORT FF FLOUR 10"
733,"008058","TR WCRN TORT 48P40Z"
736,"900693","TR 6""CLASSIC GORTIA"
737,"900694","TR 8"" GRANDE GORTIA"
739,"008063","TR TORT YELLOW CORN"
742,"900697","TR 12CT YELLOW CORN"
744,"008012","TR TORT WHIT CORN 36"
748,"008525","TR TORT WHIT CORN 84"
750,"001408","TR MEGACORN"
753,"900701","TR-THIN TOSTA 20CT"
754,"900702","TR THIN TOSTA 30P13Z"
756,"900704","T ROSA JALAPTOSTA13Z"
757,"900705","TR TORT FF FLOUR 8"
761,"008067","TR TORT 98% FF WHEAT"
762,"900707","TR TORT BURRITO WRAP"
763,"900708","TROSA WHIBABYCORN50Z"
768,"000166","GENUARDI SQ WHITE"
771,"002450","GENUARDI RYE"
773,"000173","GENUARDI POTATO"
775,"900712","GENUARDI ENG MUFFIN"
776,"900713","GENUARDI ENG MUFF 12"
780,"000181","GENUARDI SAND 8"
781,"000182","GENUARDI H.D.8"
785,"900716","GENUARDI 100% WHOLE"
786,"900717","GENUARDI CR WHE SAND"
787,"900718","GENUARDI CR WHE RT22"
791,"900720","MIL-HLTHY POT DBL"
794,"900722","MIL BUTTERMILK BRD24"
795,"008078","MIL HWG WPBRD 24Z"
799,"900725","GRANOLA MAPLE BRD2PK"
802,"900727","STR PULLMAN MG"
803,"900728","STR BREAKAWAY DINNER"
807,"900732","WHEAT PULLMAN"
808,"900733","CRACKED WHEAT"
812,"900737","FH OAT/RAI COOKI"
813,"900738","FH AMER RYE UNSD"
817,"900742","FASS GRINDER"
818,"900743","SMALL ROLL"
819,"900744","BF CREAM HORN"
820,"900745","SOURDOUGH RETURN"
822,"900747","DELI SUMMARY"
824,"900749","BREAD UNKNOWN"
1,"900010","DBL SWT STK TW"
2,"900011","DBL SWT STK TW"
3,"900012","DBL SWT STK TW"
4,"000952","DBL SWT STK TW"
5,"900001","DBL SWT STK TW"
6,"900002","DBL SWT STK TW"
7,"900003","DBL SWT STK TW"
9,"900005","DBL SWT STK TW"
10,"900006","DBL SWT STK TW"
11,"900007","DBL SWT STK TW"
13,"900009","DBL SWT STK TW"
15,"900014","DBL SWT STK TW"
16,"900015","DBL SWT STK TW"
17,"900016","DBL SWT STK TW"
18,"900017","DBL SWT STK TW"
19,"900018","DBL SWT STK TW"
20,"900019","DBL SWT STK TW"
21,"900020","DBL SWT STK TW"
23,"900022","DBL SWT STK TW"
24,"900023","DBL SWT STK TW"
25,"900024","DBL SWT STK TW"
26,"900025","DBL SWT STK TW"
27,"900026","DBL SWT STK TW"
28,"900027","DBL SWT STK TW"
29,"900028","DBL SWT STK TW"
30,"900029","DBL SWT STK TW"
32,"900031","DBL SWT STK TW"
33,"900032","DBL SWT STK TW"
34,"900033","DBL SWT STK TW"
35,"900034","DBL SWT STK TW"
36,"900035","DBL SWT STK TW"
37,"900036","DBL SWT STK TW"
38,"900037","DBL SWT STK TW"
39,"900038","FNL DBL SWT STK TW"
41,"900040","DBL SWT STK TW"
42,"900041","DBL SWT STK TW"
43,"900042","DBL SWT STK TW"
44,"900043","DBL SWT STK TW"
47,"900046","DBL SWT STK TW"
